2026-08-26T06:36:43.393+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/minisforum/etoro_nautilus/logs/optimizer_d50a7280_20260826T063643393148.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-26T06:36:43.394+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"entry_count": 0, "event_type": "CHAMPION_STORE_SCAN", "keys": [], "mtime_utc": "2026-08-26T05:51:36.569733+00:00", "run_id": "d50a7280_20260826T063643393148", "store_found": true, "store_path": "/home/minisforum/etoro_nautilus/data/optimizer/champions", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-26T06:36:43.394+00:00"}
2026-08-26T06:36:43.834+00:00 | ⚠️  WARNING  | optimizer                      | [JSON_EVENT] {"detail": "backtest.json: alle Finanzierungs- UND Slippage-Saetze sind 0.0 fuer jede Asset-Klasse -- die 'full_realism'-Kostenstress-Stufe ist ein No-Op, jede Ertragsaussage dieses Laufs ist ohne Overnight-Finanzierung, ohne Slippage, ohne Market Impact (#1010/#1162).", "event_type": "COST_MODEL_ZERO_REALISM", "overnight_financing_bps_per_day_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "run_id": "d50a7280_20260826T063643393148", "slippage_bps_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-26T06:36:43.834+00:00"}
2026-08-26T06:36:43.876+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=1080.2, median_span_days=1080.2 (je Symbol, latest-earliest), n_symbols_below_required=0 von 1. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-26T06:36:43.880+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"actual": null, "check": "check_bar_quality", "detail": "Kein Symbol tatsaechlich geprueft (using_real_optimize=False oder keine Katalog-Stichprobe verfuegbar) — nicht auswertbar, kein Befund (#1046/#1195).", "evaluable": false, "event_type": "INVARIANT_STREAM_RESULT", "expected": "Bar-Qualitaets-Preflight (frac_zero_true_range/atr_median_bps/bar_coverage_ratio/median_delta_t_s) besteht die konfigurierten Schwellen (#807).", "name": "check_bar_quality", "passed": null, "run_id": "d50a7280_20260826T063643393148", "scope": "global", "severity": "high", "source": "sweep", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-26T06:36:43.880+00:00"}
2026-08-26T06:36:43.881+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"budget_bytes": 214748364800, "event_type": "DISK_BUDGET_PREFLIGHT", "expected_bytes": 58200000, "expected_trials": 1940, "free_bytes": 900067377152, "run_id": "d50a7280_20260826T063643393148", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-26T06:36:43.881+00:00"}
2026-08-26T06:36:43.883+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"backtest_ms_mean": 7575.0, "backtest_share": 0.85, "event_type": "WALLCLOCK_BUDGET_PREFLIGHT", "expected_trials": 1940, "expected_wallclock_h": 0.27, "parallelism_degree": 22.0, "run_id": "d50a7280_20260826T063643393148", "scheduling_efficiency": 0.8, "strategy": null, "study_name": null, "sweep_max_wallclock_h": 72, "symbol": null, "timestamp_utc": "2026-08-26T06:36:43.883+00:00"}
2026-08-26T06:36:46.532+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"actual": null, "check": "check_wallclock_budget", "detail": "Laufzeit-Budget nicht überschritten.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "elapsed_s <= max_hours*3600 (max_hours=72)", "name": "check_wallclock_budget", "passed": true, "run_id": "d50a7280_20260826T063643393148", "scope": "global", "severity": "high", "source": "sweep", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-26T06:36:46.532+00:00"}
2026-08-26T06:36:46.536+00:00 | ℹ️  INFO     | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "d50a7280_20260826T063643393148", "scope": "SmaCrossoverStrategy", "severity": "medium", "source": "sweep", "strategy": "SmaCrossoverStrategy", "study_name": "study_SmaCrossoverStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-26T06:36:46.536+00:00"}
2026-08-26T06:36:46.537+00:00 | ℹ️  INFO     | optimizer                      | [DynamicBreakoutStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "d50a7280_20260826T063643393148", "scope": "DynamicBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "DynamicBreakoutStrategy", "study_name": "study_DynamicBreakoutStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-26T06:36:46.537+00:00"}
2026-08-26T06:36:46.540+00:00 | ℹ️  INFO     | optimizer                      | [MeanReversionStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "d50a7280_20260826T063643393148", "scope": "MeanReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "MeanReversionStrategy", "study_name": "study_MeanReversionStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-26T06:36:46.540+00:00"}
