2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.718+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.718+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.719+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.719+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
